YTM	VEGA	DELTA_EXCHANGE_NPV	POSITIONID	STRIKE_REF_SPOT	DELTA_FACTOR	GAMMA	RHO_FACTOR	DELTA	RHO	BPV	REF_DATE	PVBP	GAMMA_FACTOR	SSL_SNAPSHOT_DATE	ANALYTICDATE	THETA	SSL_FEID	VEGA_FACTOR	DELTA_EXCHANGE_LIAB	RISK_NATURE	DELTA_EXCHANGE_CASH	CURRENCY	STEP_LABEL	POSITIONID_FE	STRIKE_REF_VALUE	STRIKE_UNDERLYING	F_DELTA_EXCHANGE	STRIKE_INSTR_VALUE	VOLATILITY	THETA_FACTOR	SSL_COUNTER	RHO1
	-11042.1469904129		AA | EUR | Equities | Options | Call | OPT_CERT SD3E APR26 BDT C66.66 7Y - 4954 | 28 APR 26 | C | E | 1363.5535000000 | XXXX | Internal_bc64c0b4-9e9d-11ea-a0a0-6b77645bee53_TBRX			-6.6066859375		-33972.9904577859	-143759.6015138911		20200831			30200831.0000000000	20200831	-2188.4117131878	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_CERT SD3E APR26 BDT C66.66 7Y - 4954 | 28 APR 26 | C | E | 1363.5535000000 | XXXX | Internal							1.0000000000	1350.6891512344
	-6179.2983483291		AA | EUR | Equities | Options | Call | OPT_SD3E JUN19 BDT C66.66 2Y - 5060 | 22 JUN 21 | C | E | 1277.9600000000 | XXXX | Internal_bc748184-9e9d-11ea-a0a0-6b77645bee53_TBRX			-9.4796972258		-55046.4214493697	-36150.7978655686		20200831			30200831.0000000000	20200831	-2682.2387441257	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E JUN19 BDT C66.66 2Y - 5060 | 22 JUN 21 | C | E | 1277.9600000000 | XXXX | Internal							1.0000000000	358.6086062699
	-33587.3262005910		AA | EUR | Equities | Options | Call | OPT_SD3E MAR26 CATM - 5202 | 26 MAR 26 | C | E | 1957.2200000000 | XXXX | Internal_bc870926-9e9d-11ea-a0a0-6b77645bee53_TBRX			-24.3849191005		-63373.1611754370	-311701.4652993694		20200831			30200831.0000000000	20200831	-3617.5592433445	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E MAR26 CATM - 5202 | 26 MAR 26 | C | E | 1957.2200000000 | XXXX | Internal							1.0000000000	2721.9226246994
	0.0000000000		AA | EUR | Equities | Options | Call | OPT_EPC SD3E NOV26 CNP 1Y FLOOR - 5332 | 20 NOV 20 | C | E | .0001000000 | XXXX | Internal_bc8cd2c0-9e9d-11ea-a0a0-6b77645bee53_TBRX			0.0000000000		-440340.7184650081	-200.4727251541		20200831			30200831.0000000000	20200831	-33001.5527768409	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_EPC SD3E NOV26 CNP 1Y FLOOR - 5332 | 20 NOV 20 | C | E | .0001000000 | XXXX | Internal							1.0000000000	2.0060838126
	-887.3409014710		AA | EUR | Equities | Options | Call | SD3E FEB21 CALL50 OTC - EPSILON | 11 FEB 21 | C | E | 954.4350000000 | None | OTC Derivatives_c11a2302-7710-11e9-9400-98972329be46_TBRX			-0.8595082506		-28920.7349620078	-8605.4000751982		20200831			30200831.0000000000	20200831	-1796.4348932547	TBRX					EUR	 	AA | EUR | Equities | Options | Call | SD3E FEB21 CALL50 OTC - EPSILON | 11 FEB 21 | C | E | 954.4350000000 | None | OTC Derivatives							1.0000000000	86.1234489125
	-3716.7311542230		AA | EUR | Equities | Options | Call | SD3E FEB25 CALL50 OTC - EPSILON | 11 FEB 25 | C | E | 954.4350000000 | None | OTC Derivatives_c11a7de8-7710-11e9-9400-98972329be46_TBRX			-1.6623689586		-23307.7858264086	-63458.8596794644		20200831			30200831.0000000000	20200831	-1595.6546550304	TBRX					EUR	 	AA | EUR | Equities | Options | Call | SD3E FEB25 CALL50 OTC - EPSILON | 11 FEB 25 | C | E | 954.4350000000 | None | OTC Derivatives							1.0000000000	628.3542114205
	-3351.9209392349		AA | EUR | Equities | Options | Call | SD3E MAR25 CALL50 OTC - EPSILON MAR26 | 13 MAR 25 | C | E | 1015.6550000000 | None | OTC Derivatives_c16b89ea-7710-11e9-9400-98972329be46_TBRX			-1.6121683781		-18895.7443232794	-54550.6519568920		20200831			30200831.0000000000	20200831	-1281.8657283407	TBRX					EUR	 	AA | EUR | Equities | Options | Call | SD3E MAR25 CALL50 OTC - EPSILON MAR26 | 13 MAR 25 | C | E | 1015.6550000000 | None | OTC Derivatives							1.0000000000	537.4454460128
	5556.1138330296		VOL_STOCK_IDX_PR | EUR | Equities | Options | Put | OPT_SX5E NOV23 P80 CREDEM - 5003 | 13 NOV 23 | P | E | 2708.6240000000 | XXXX | Internal_be291cac-b094-11ea-bdb0-f7127f36688c_TBRX			1.2896327841		-13542.7250994806	-51794.4921875355		20200831			30200831.0000000000	20200831	-354.2025816103	TBRX					EUR	 	VOL_STOCK_IDX_PR | EUR | Equities | Options | Put | OPT_SX5E NOV23 P80 CREDEM - 5003 | 13 NOV 23 | P | E | 2708.6240000000 | XXXX | Internal							1.0000000000	546.7114338071
			VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | I05388 | SEDX | BIT SEDEX_c376abb4-baa1-11e9-a020-091cb4b8f405_TBRX			0.1957336607		-17188.4420013569	77478.2579509091		20200831			30200831.0000000000	20200831	-118.0419410163	TBRX					EUR	 	VOL_STOCK_IDX_PR | EUR | Equities | Miscellaneous | Combined Instruments | I05388 | SEDX | BIT SEDEX							1.0000000000	-783.5808120285
			VOL_STOCK_IDX_PR | USD | Equities | Miscellaneous | Combined Instruments | EPC SPX MAY24 ISPB | ETLX | EuroTLX Equities_d5b670e4-88cd-11e9-8d60-1c1d03a602f1_TBRX			0.3459246854		-56124.4630216398	313533.8864390122		20200831			30200831.0000000000	20200831	-662.3385766671	TBRX					USD	 	VOL_STOCK_IDX_PR | USD | Equities | Miscellaneous | Combined Instruments | EPC SPX MAY24 ISPB | ETLX | EuroTLX Equities							1.0000000000	-3150.9708461619
