Bof_20200828
CURRENCY	CURVE_PILLAR	CURVE_PILLAR_MAT	CURVE_PILLAR_SPLIT	CURVE_PILLAR_START	CURVE_PILLAR_START_LABEL	CURVE_PILLAR_STRIKE	MARKET_RATE	OPTION_STRIKE	POSITIONID	REF_DATE	REFMARKET	RISK_NATURE	SENSITIVITYDATE	UNDERLYING	UNDERLYING_MKT	VEGA	VOLATILITY_CATEGORY	VOLATILITY_GROUP	VOLATILITY_TYPE	VOLATILITY_GROUP_TYPE	VOLATILITY_GROUP_ID	TBRICKS_INSTRUMENT_ID	MIC_JOIN_MKT_ATTR
EUR								22000	EQ-INDEXVOL2 | EUR | Equities | Rights | Warrants Put | I06083 | SEDX | BIT SEDEX	2020-08-28	SEDX	Total	2020-08-28			0		FTMIB_FTMIB risk fixed expiry			d9df2e30-39d7-11e9-a900-eb52c95dd479	d3b7fa3e-5211-11ea-8640-38c7f938b954	SEDX
USD								307.4	EQ-INDEXVOL2 | USD | Equities | Options | Call | OPT_DJGT FEB23 C ATM - 4448 | 24 FEB 23 | C | E | 307.4000000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			-18921.150776260878		DJGT_DJGT risk fixed expiry			b83c1856-3b49-11e9-93b0-dcd608f6e958	bbe6ad3c-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR									EQ-INDEXVOL2 | EUR | Equities | Futures | Financial Futures | FDIV 202009 | SEP 20 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			0		DDAXK_DDAXK risk fixed expiry			b01122b2-3b5c-11e9-93b0-dcd608f6e958	499795d6-254c-11ea-af50-2dba816f6810	XEUR
EUR								2000	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202012 P 2000 | 18 DEC 20 | P | E | 2000.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			0		DJES50_DJES50 risk fixed expiry			cf4df320-39d7-11e9-a900-eb52c95dd479	f381f1cc-1f30-11e9-a2d0-b3645e528b7a	XEUR
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | CAMPBELL SOUP CO | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						5ad383fc-1f2e-11e9-a2d0-b3645e528b7a	XNYS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | CAMDEN PROPERTY | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						25030edc-514c-11e9-b8d0-ec23cf8de3db	XNYS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Fastly | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						f833e98d-2d70-11ea-f47a-e4f7cfc1999a	XNYS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | FIRST AMERICAN | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						250702da-514c-11e9-b8d0-ec23cf8de3db	XNYS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | SANDERSON FARMS INC | XNAS | Reuters Elektron	2020-08-28	XNAS	GrandTotal	2020-08-28			0						7d368f8e-5151-11e9-b8d0-ec23cf8de3db	XNAS
USD									RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | D.R. HORTON INC | XNYS | Reuters Elektron	2020-08-28	XNYS	GrandTotal	2020-08-28			0						5a4f600e-1f2e-11e9-a2d0-b3645e528b7a	XNYS
