Bof_20200828
POSITIONID_FE	SETTLEMENTDATE	QUANTITY	AVERAGE_PRICE	REF_DATE	TBRICKS_INSTRUMENT_ID
LONG_ONLY | EUR | Equities | Equities | Common/Ordinary shares | ENEL | MTAA | BIT MTA	2020-08-28	0	0	2020-08-28	ef9eba3c-1f2a-11e9-a2d0-b3645e528b7a
LONG_ONLY | USD | Equities | Equities | Common/Ordinary shares | JPMORGAN CHASE USD | XNYS | Virtu	2020-08-28	-5000	90.78207999999998	2020-08-28	2509f5a8-514c-11e9-b8d0-ec23cf8de3db
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OEXD 202012 P 90 | 18 DEC 20 | P | E | 90.0000000000 | XEUR | Eurex NTA	2020-08-28	10	35	2020-08-28	f37ea512-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX6E JUL26 CCAP - 5112 | 29 JUL 26 | C | E | 446.1402000000 | XXXX | Internal	2020-08-31	-102.075534	8.06374592079	2020-08-28	7e83a462-aef7-11ea-8700-3d076c78611f
EQ-INDEXVOL2 | EUR | Equities | Rights | Warrants Put | I05863 | SEDX | BIT SEDEX	2020-08-31	-45000	0.12594444444444444	2020-08-28	40603b46-1659-11ea-b3f0-689a4e2fd020
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX6E JUL26 CATM - 5112 | 29 JUL 26 | C | E | 323.2900000000 | XXXX | Internal	2020-08-31	102.075534	31.1975737823	2020-08-28	4c8f4c7c-aef7-11ea-8700-3d076c78611f
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E DEC21 CCAP - 3624 | 23 DEC 21 | C | E | 4507.4208000000 | XXXX | Internal	2020-08-28	7103.8134	3.560336122523287	2020-08-28	bb53d728-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Call | MIBO1F17000 | 18 JUN 21 | C | E | 17000.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	0	0	2020-08-28	4cc4d4ee-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OESX 202212 C 2500 | 16 DEC 22 | C | E | 2500.0000000000 | XEUR | Eurex NTA	2020-08-28	-500	1001.3169681133207	2020-08-28	f4483d5a-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX5E DEC21 P90 - 3624 | 23 DEC 21 | P | E | 2982.8520000000 | XXXX | Internal	2020-09-01	1.508625	217.69017516300002	2020-08-28	bb5641c0-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OESB 202010 C 72.5 | 16 OCT 20 | C | E | 72.5000000000 | XEUR | Eurex NTA	2020-08-28	0	0	2020-08-28	6770bebe-ca12-11ea-bfb0-7047c6039bd4
VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EPC SD3E NOV26 BDT | SEDX | BIT SEDEX	2020-08-28	-63376	869.3507289302253	2020-08-28	1e71042e-1132-11ea-95c0-9c8971a2b88b
LONG_ONLY | GBP | Equities | Equities | Common/Ordinary shares | MARKS & SP. | XLON | LSE Millennium	2020-08-28	0	0	2020-08-28	5b26a8de-1f2e-11e9-a2d0-b3645e528b7a
LONG_ONLY | EUR | Equities | Equities | Common/Ordinary shares | MONC | MTAA | BIT MTA	2020-08-28	0	0	2020-08-28	ef9f1bda-1f2a-11e9-a2d0-b3645e528b7a
LONG_ONLY | USD | Equities | Equities | Common/Ordinary shares | VISA INC | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	5a8e4198-1f2e-11e9-a2d0-b3645e528b7a
LONG_ONLY | EUR | Equities | Equities | Common/Ordinary shares | BST | MTAA | BIT MTA	2020-08-28	37000	1.2579788648648647	2020-08-28	efa43868-1f2a-11e9-a2d0-b3645e528b7a
LONG_ONLY | EUR | Equities | Equities | Common/Ordinary shares | BAMI | MTAA | BIT MTA	2020-08-28	200000	1.5593527450000004	2020-08-28	ef9d1268-1f2a-11e9-a2d0-b3645e528b7a
