ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	NUCOR		L_S_5b080f00-1f2e-11e9-a2d0-b3645e528b7a_NUCOR_TBRX				Cash						0B7822_TBRX		L_S_5b080f00-1f2e-11e9-a2d0-b3645e528b7a_NUCOR_TBRX				1.0000000000	 	USD		30200831.0000000000	US6703461052	NUCOR ORD		0		NUCOR		20180118		0	TBRX			20200831	
	ASSA ABLOY B		L_S_5a8bb626-1f2e-11e9-a2d0-b3645e528b7a_ASSA ABLOY B_TBRX				Cash						ASSA_TBRX		L_S_5a8bb626-1f2e-11e9-a2d0-b3645e528b7a_ASSA ABLOY B_TBRX				1.0000000000	 	SEK		30200831.0000000000	SE0007100581	ASSA ABLOY B OR		0		ASSA ABLOY B		20150603		0	TBRX			20200831	
	American States Water		L_S_cb0b5fb5-5e31-11ea-c63d-036902a9a7a0_American States Water_TBRX				Cash								L_S_cb0b5fb5-5e31-11ea-c63d-036902a9a7a0_American States Water_TBRX				1.0000000000	 	USD		30200831.0000000000	US0298991011			0		American States Water				0	TBRX			20200831	
	Performance Group		L_S_38ea7402-856d-11ea-b7e8-9b0947f592a0_Performance Group_TBRX				Cash								L_S_38ea7402-856d-11ea-b7e8-9b0947f592a0_Performance Group_TBRX				1.0000000000	 	USD		30200831.0000000000	US71377A1034			0		Performance Group				0	TBRX			20200831	
	CADENCE DESIGN		L_S_5b1228b4-1f2e-11e9-a2d0-b3645e528b7a_CADENCE DESIGN_TBRX				Cash						0C7072_TBRX		L_S_5b1228b4-1f2e-11e9-a2d0-b3645e528b7a_CADENCE DESIGN_TBRX				1.0000000000	 	USD		30200831.0000000000	US1273871087	CADENCE DESIGN		0		CADENCE DESIGN		20180118		0	TBRX			20200831	
	CALLON PETROLEUM		L_S_2517db0a-514c-11e9-b8d0-ec23cf8de3db_CALLON PETROLEUM_TBRX				Cash								L_S_2517db0a-514c-11e9-b8d0-ec23cf8de3db_CALLON PETROLEUM_TBRX				1.0000000000	 	USD		30200831.0000000000	US13123X5086	CALLON PETROLEUM		0		CALLON PETROLEUM				0	TBRX			20200831	
	RDSa USA		L_S_375139c7-d0a2-11e9-36e9-5b62a4e74692_RDSa USA_TBRX				Cash								L_S_375139c7-d0a2-11e9-36e9-5b62a4e74692_RDSa USA_TBRX				1.0000000000	 	USD		30200831.0000000000	US7802592060			0		RDSa USA				0	TBRX			20200831	
	WPX		L_S_e9ea258d-3c5e-11ea-cb25-720df61f70a2_WPX_TBRX				Cash								L_S_e9ea258d-3c5e-11ea-cb25-720df61f70a2_WPX_TBRX				1.0000000000	 	USD		30200831.0000000000	US98212B1035			0		WPX				0	TBRX			20200831	
	RICHEMONT N		L_S_5ad8e5ea-1f2e-11e9-a2d0-b3645e528b7a_RICHEMONT N_TBRX				Cash						0B4890_TBRX		L_S_5ad8e5ea-1f2e-11e9-a2d0-b3645e528b7a_RICHEMONT N_TBRX				1.0000000000	 	CHF		30200831.0000000000	CH0210483332	RICHEMONT N ORD		0		RICHEMONT N		20140305		0	TBRX			20200831	
	BPSO		L_S_ef9f27ec-1f2a-11e9-a2d0-b3645e528b7a_BPSO_TBRX				Cash						BANCA POPOLARE SONDRIO_TBRX		L_S_ef9f27ec-1f2a-11e9-a2d0-b3645e528b7a_BPSO_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0000784196	BCA POP SONDRIO		0		BPSO		20081110		0	TBRX			20200831	
	BURBERRY GRP		L_S_5a5b248e-1f2e-11e9-a2d0-b3645e528b7a_BURBERRY GRP_TBRX				Cash						BUBRBY_TBRX		L_S_5a5b248e-1f2e-11e9-a2d0-b3645e528b7a_BURBERRY GRP_TBRX				1.0000000000	 	GBP		30200831.0000000000	GB0031743007	BURBERRY GRP		0		BURBERRY GRP		20020920		0	TBRX			20200831	
