ASSETCLASS_DES	NEW_MTYPE	DESCRIPTION_EXT	FI_TYPE	NUMBEROFPHASES	INSTRUMENT_FE	ASSETCLASS	NEW_MGROUP	SSL_FEID	SEC_REFERENCE	F_ISLISTED	TYPOLOGY_DES	SEC_GROUP	DESCRIPTION	COMMENT1	COMMENT0	COMMENT2	ISSUERID	TYPE_DES	FIID	SEC_TYPE	PHASE	ISIN	GROUP_DES	INSTRUMENTID_FE	MTYPE	FAMILY_DES	NEW_MFAMILY	F_LABELCHG	SSL_SNAPSHOT_DATE	TYPOLOGY	MFAMILY	SEC_CATEGORY	REF_DATE	NEW_TYPOLOGY	STRUCTID_FE	INSTRUMENTNUM_FE	MGROUP	QUANTITYFACTOR
	Put		FI_OPTION	1.0000000000	OESX 202212 P 3400		Options	TBRX		Y		Equities	OESX 202212 P 3400						O_f448fe70-1f30-11e9-a2d0-b3645e528b7a_OESX 202212 P 3400 | 16 DEC 22 | P | E | 3400.0000000000_TBRX	Options	0.0000000000	DE000P92WZN4		OESX 202212 P 3400 | 16 DEC 22 | P | E | 3400.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	VAR1		Equities	TBRX		Y		Equities	VARTA						L_S_e35c54d6-1f2b-11e9-a2d0-b3645e528b7a_VAR1_TBRX	Equities	0.0000000000	DE000A0TGJ55		VAR1			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	OESX 202009 P 2900		Options	TBRX		Y		Equities	OESX 202009 P 2900						O_b87aeaa2-ddc1-11e9-9eb0-e7766f5ef7bc_OESX 202009 P 2900 | 18 SEP 20 | P | E | 2900.0000000000_TBRX	Options	0.0000000000	DE000C4FPPS5		OESX 202009 P 2900 | 18 SEP 20 | P | E | 2900.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	SPM0J2.20		Options	TBRX		Y		Equities	SPM0J2.20						O_47088b98-ca4e-11ea-bfb0-7047c6039bd4_SPM0J2.20 | 16 OCT 20 | C | A | 2.2000000000_TBRX	Options	0.0000000000	IT0017259729		SPM0J2.20 | 16 OCT 20 | C | A | 2.2000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	FRE G47.91 21 - OTC EPSILON		Options	TBRX		N		Equities							O_3a710bb2-bd24-11ea-b0d0-9b6fd5f0ec96_FRE G47.91 21 - OTC EPSILON | 02 JUL 21 | C | E | 47.9100000000_TBRX	Options	0.0000000000			FRE G47.91 21 - OTC EPSILON | 02 JUL 21 | C | E | 47.9100000000			Equities		30200831		Equities	Call	20200831			30937069	Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	AV		Equities	TBRX		Y		Equities	ANTARES VISION						L_S_1d6ec0d8-619d-11e9-b330-a3b5bfea9479_AV_TBRX	Equities	0.0000000000	IT0005366601		AV			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I05938		Rights	TBRX		Y		Equities	BI CW CALL FCA 16,5 E 010321						L_S_40629a80-1659-11ea-b3f0-689a4e2fd020_I05938_TBRX	Rights	0.0000000000	IT0005393001		I05938	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CARLSBERG B		Equities	TBRX		Y		Equities	CARLSBERG B ORD						L_S_5a3d0dd2-1f2e-11e9-a2d0-b3645e528b7a_CARLSBERG B_TBRX	Equities	0.0000000000	DK0010181759		CARLSBERG B			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	WPP		Equities	TBRX		Y		Equities	WPP						L_S_5ac73228-1f2e-11e9-a2d0-b3645e528b7a_WPP_TBRX	Equities	0.0000000000	JE00B8KF9B49		WPP			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Warrants Call		FI_OPTION	1.0000000000	I06452		Rights	TBRX		Y		Equities	BI CW CALL FCA 9 E 070920						L_S_b3be165a-90e6-11ea-b430-b3e2b66d25c3_I06452_TBRX	Rights	0.0000000000	IT0005410060		I06452	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	J & J Snack Foods		Equities	TBRX		Y		Equities							L_S_481c79d2-9458-11ea-cf25-d0914cfd53a1_J & J Snack Foods_TBRX	Equities	0.0000000000	US4660321096		J & J Snack Foods			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	1UD		Equities	TBRX		Y		Equities	TEAMVIEWER AG  INH O.N.						L_S_2e2db346-de86-11e9-aa30-0f30bc25b079_1UD_TBRX	Equities	0.0000000000	DE000A2YN900		1UD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CHEVRON USD		Equities	TBRX		Y		Equities	CHEVRON ORD						L_S_5b1238ea-1f2e-11e9-a2d0-b3645e528b7a_CHEVRON USD_TBRX	Equities	0.0000000000	US1667641005		CHEVRON USD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	IDEAMI_SPEC Delisted		Equities	TBRX		Y		Equities	IDEAMI_SPEC Delisted						L_S_68fbc91a-20bb-11e9-ae50-47deb3124dc8_IDEAMI_SPEC Delisted_TBRX	Equities	0.0000000000	IT0005315285		IDEAMI_SPEC Delisted			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Varex Imaging		Equities	TBRX		Y		Equities							L_S_8d5ed603-4da0-11ea-0362-5cdc4d9d9c93_Varex Imaging_TBRX	Equities	0.0000000000	US92214X1063		Varex Imaging			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	PIRC0U3.70		Options	TBRX		Y		Equities	PIRC0U3.70						O_328161e2-e5a5-11e9-80e0-42d88dbc676c_PIRC0U3.70 | 18 SEP 20 | P | A | 3.7000000000_TBRX	Options	0.0000000000	IT0016101278		PIRC0U3.70 | 18 SEP 20 | P | A | 3.7000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	ENI0I9		Options	TBRX		Y		Equities	ENI0I9						O_32657bc6-e5a5-11e9-80e0-42d88dbc676c_ENI0I9 | 18 SEP 20 | C | A | 9.0000000000_TBRX	Options	0.0000000000	IT0016099902		ENI0I9 | 18 SEP 20 | C | A | 9.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Units		FI_EQUITY	1.0000000000	QFMRA		Equities	TBRX		Y		Equities	QF MEDIOLANUM RE A						L_S_efa4855c-1f2a-11e9-a2d0-b3645e528b7a_QFMRA_TBRX	Equities	0.0000000000	IT0003922223		QFMRA			Equities		30200831		Equities	Units	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	STARBUCKS  EUR		Equities	TBRX		Y		Equities	STARBUCKS						L_S_efa480fc-1f2a-11e9-a2d0-b3645e528b7a_STARBUCKS  EUR_TBRX	Equities	0.0000000000	US8552441094		STARBUCKS  EUR			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	OEDV 202112 C 2000		Options	TBRX		Y		Equities	OEDV 202112 C 2000						O_f9cc9b0e-1f30-11e9-a2d0-b3645e528b7a_OEDV 202112 C 2000 | 17 DEC 21 | C | E | 2000.0000000000_TBRX	Options	0.0000000000	DE000C0JLPX4		OEDV 202112 C 2000 | 17 DEC 21 | C | E | 2000.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	AGL0I5		Options	TBRX		Y		Equities	AGL0I5						O_9f8132b0-5d1c-11ea-9b10-1e6079c4b3f4_AGL0I5 | 18 SEP 20 | C | A | 5.0000000000_TBRX	Options	0.0000000000	IT0016599711		AGL0I5 | 18 SEP 20 | C | A | 5.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	SPM0X1.90		Options	TBRX		Y		Equities	SPM0X1.90						O_99099dd4-494d-11e9-9970-3027219c6795_SPM0X1.90 | 18 DEC 20 | P | A | 1.9000000000_TBRX	Options	0.0000000000	IT0015495986		SPM0X1.90 | 18 DEC 20 | P | A | 1.9000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	OPT_SD3E JUN19 BDT C66.66 3Y - 5060		Options	TBRX		Y		Equities							O_bc75c8fa-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E JUN19 BDT C66.66 3Y - 5060 | 22 JUN 22 | C | E | 1277.9600000000_TBRX	Options	0.0000000000			OPT_SD3E JUN19 BDT C66.66 3Y - 5060 | 22 JUN 22 | C | E | 1277.9600000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	Prestige Consumer Healthcare		Equities	TBRX		Y		Equities							L_S_c1639f14-6f8b-11ea-18cd-7da34f056eb6_Prestige Consumer Healthcare_TBRX	Equities	0.0000000000	US74112D1019		Prestige Consumer Healthcare			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Put		FI_OPTION	1.0000000000	FCA0X11		Options	TBRX		Y		Equities	FCA0X11						O_4dacede2-1f30-11e9-a2d0-b3645e528b7a_FCA0X11 | 18 DEC 20 | P | A | 11.0000000000_TBRX	Options	0.0000000000	IT0014335860		FCA0X11 | 18 DEC 20 | P | A | 11.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	SD3E JULY27 CALL 1710 OTC EPSILON JUL27		Options	TBRX		N		Equities							O_094503f8-d242-11ea-bd10-a0ea0a2aaa8e_SD3E JULY27 CALL 1710 OTC EPSILON JUL27 | 14 JUL 27 | C | E | 1710.0000000000_TBRX	Options	0.0000000000			SD3E JULY27 CALL 1710 OTC EPSILON JUL27 | 14 JUL 27 | C | E | 1710.0000000000			Equities		30200831		Equities	Call	20200831			31082567	Call	
	Call		FI_OPTION	1.0000000000	OESX 202011 C 3400		Options	TBRX		Y		Equities	OESX 202011 C 3400						O_dfd4c492-a06c-11ea-bbd0-26e992addfbf_OESX 202011 C 3400 | 20 NOV 20 | C | E | 3400.0000000000_TBRX	Options	0.0000000000	DE000C5F95W0		OESX 202011 C 3400 | 20 NOV 20 | C | E | 3400.0000000000			Equities		30200831		Equities	Call	20200831				Call	
