INSTRUMENTID_FE	REF_DATE	QUANTITYFACTOR	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	COMPONENT_FIID	COMPONENT_INSTRUMENTID_FE
EP3 SD3E JUL24 BDT	20200831	-0.4859160000	L_S_341f3396-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E JUL24 BDT_TBRX	TBRX	30200831	O_732c8f43-62b4-11e9-b160-4ad6f9df0bf5_SD3E JUL24 C100 BOND | 29 JUL 24 | C | E | 2057.9700000000_TBRX	SD3E JUL24 C100 BOND | 29 JUL 24 | C | E | 2057.9700000000
EP3 SD3E JUL24 BDT	20200831	0.4859160000	L_S_341f3396-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E JUL24 BDT_TBRX	TBRX	30200831	O_732cdc55-62b4-11e9-b160-4ad6f9df0bf5_SD3E JUL24 CATM | 29 JUL 24 | C | E | 2057.9700000000_TBRX	SD3E JUL24 CATM | 29 JUL 24 | C | E | 2057.9700000000
EP3 SD3E MAR22 BDT	20200831	0.5477320000	L_S_3421e488-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E MAR22 BDT_TBRX	TBRX	30200831	O_874f8bc9-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR22 CALL0 BOND | 29 MAR 22 | C | E | .0001000000_TBRX	SD3E MAR22 CALL0 BOND | 29 MAR 22 | C | E | .0001000000
EP3 SD3E MAR22 BDT	20200831	0.5477320000	L_S_3421e488-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E MAR22 BDT_TBRX	TBRX	30200831	O_8751d4bf-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR22 P100 BOND | 29 MAR 22 | P | E | 1825.7100000000_TBRX	SD3E MAR22 P100 BOND | 29 MAR 22 | P | E | 1825.7100000000
EP3 SD3E MAR22 BDT	20200831	-0.5477320000	L_S_3421e488-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E MAR22 BDT_TBRX	TBRX	30200831	O_875360d6-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR22 PATM | 29 MAR 22 | P | E | 1825.7100000000_TBRX	SD3E MAR22 PATM | 29 MAR 22 | P | E | 1825.7100000000
EP3 SD3E MAR22 BDT	20200831	-0.5477320000	L_S_3421e488-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E MAR22 BDT_TBRX	TBRX	30200831	O_875441c3-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAR22 CCAP | 29 MAR 22 | C | E | 2738.5650000000_TBRX	SD3E MAR22 CCAP | 29 MAR 22 | C | E | 2738.5650000000
EP3 SX6E MAR23 BDT	20200831	-3.8430500000	L_S_34231812-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX6E MAR23 BDT_TBRX	TBRX	30200831	O_7d8ee368-62b4-11e9-b160-4ad6f9df0bf5_SX6E MAR23 C100 BOND | 29 MAR 23 | C | E | 260.2100000000_TBRX	SX6E MAR23 C100 BOND | 29 MAR 23 | C | E | 260.2100000000
EP3 SX6E MAR23 BDT	20200831	3.8430500000	L_S_34231812-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX6E MAR23 BDT_TBRX	TBRX	30200831	O_7d8f6ae0-62b4-11e9-b160-4ad6f9df0bf5_SX6E MAR23 CATM | 29 MAR 23 | C | E | 260.2100000000_TBRX	SX6E MAR23 CATM | 29 MAR 23 | C | E | 260.2100000000
EP3 SX6E MAR23 BDT	20200831	-3.8430500000	L_S_34231812-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX6E MAR23 BDT_TBRX	TBRX	30200831	O_7d8fccce-62b4-11e9-b160-4ad6f9df0bf5_SX6E MAR23 CCAP | 29 MAR 23 | C | E | 364.2940000000_TBRX	SX6E MAR23 CCAP | 29 MAR 23 | C | E | 364.2940000000
EPC DJGT FEB23 BDT	20200831	3.2530900000	L_S_3424c2d4-1f2e-11e9-a2d0-b3645e528b7a_EPC DJGT FEB23 BDT_TBRX	TBRX	30200831	O_7626d13a-62b4-11e9-b160-4ad6f9df0bf5_DJGT FEB23 C0 BOND | 24 FEB 23 | C | E | .0000010000_TBRX	DJGT FEB23 C0 BOND | 24 FEB 23 | C | E | .0000010000
