NomePortafoglio;CodiceISIN;UnderlyingName;ContractName;ExpiryDate;ContractKind;Rhoofposition;StrikePrice;NumberofContracts;Deltaofposition;Gammaofposition;Delta1;Multiplier;ContractCurrency;UpDelta1;DownDelta1;Thetaofposition;MarketPriceofContract;TheoreticalValueofContract;ActVol;ActFR;Vegaofposition;Investedofposition;Valueofpositionmarket;Totalresultofpositionmktth;PLDeskoperatore;Totalresultofpositiontheoretical;Feespaidforposition;ExecutionType;CustomKind;TheoreticalModel;Feedcode;PriceMultiplier;InstrumentTag;PositionCurrency;SettlementStyle;PrimaryMarketforContract;Rho1;CompositeTag;Accruedinterestofposition
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 P100 BOND;2020-09-03;Put;9071.39537;377.61000;-97431;1948.62428;0.00000;246306.10870;1.00000;EUR;0;0;342.57756;;124.84164;13.83513;-0.40557;0.00000;;;;-12163472.88818;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82249f8a-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-90.7252;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 CATM;2020-09-03;Call;0.00000;377.61000;-97431;0.00000;0.00000;0.00000;1.00000;EUR;0;0;0.00000;;0.00000;13.83513;-0.40557;0.00000;;;;-0.00000;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8224e1ac-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;0;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 PATM;2020-09-03;Put;-9071.54238;377.61000;97431;-1948.62428;0.00000;-246306.10870;1.00000;EUR;0;0;-408.84170;;124.84776;13.83513;-0.40557;0.00000;;;;12164069.19433;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;8224f8b8-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;90.7267;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 P90;2020-09-03;Put;8164.41217;339.85000;-97431;1948.62428;0.00000;246306.10870;1.00000;EUR;0;0;367.95862;;87.08399;13.83513;-0.40557;0.00000;;;;-8484698.62884;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82255eca-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-81.6543;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;DJGT;DJGT SEP20 C100 BOND;2020-09-03;Call;293.43801;220.85000;5388;5388.27240;0.00000;22656.06896;1.00000;USD;0;0;33.29932;;199.57820;42.50404;0.23049;0.00000;;;;1075381.72412;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822decac-62b4-11e9-b160-4ad6f9df0bf5;USD;Cash;XXXX;-2.93475;341e7064-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;DJGT;DJGT SEP20 P100 BOND;2020-09-03;Put;0.00000;220.85000;-5388;0.00000;0.00000;0.00000;1.00000;USD;0;0;0.00000;;0.00000;42.50404;0.23049;0.00000;;;;-0.00000;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822e0674-62b4-11e9-b160-4ad6f9df0bf5;USD;Cash;XXXX;0;341e7064-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;DJGT;DJGT SEP20 CATM;2020-09-03;Call;-293.43946;220.85000;-5388;-5388.27240;0.00000;-22656.06896;1.00000;USD;0;0;-33.95153;;199.57711;42.50404;0.23049;0.00000;;;;-1075375.85462;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822e4f94-62b4-11e9-b160-4ad6f9df0bf5;USD;Cash;XXXX;2.93476;341e7064-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;DJGT;DJGT SEP20 CCAP;2020-09-03;Call;422.52369;318.02400;5388;5388.27240;0.00000;22656.06896;1.00000;USD;0;0;32.86622;;102.40816;29.44484;0.23049;0.00000;;;;551803.04776;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822e8de2-62b4-11e9-b160-4ad6f9df0bf5;USD;Cash;XXXX;-4.22576;341e7064-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXDP;EP3 SXDP SEPT20 BDT CALL 0 BOND;2020-09-23;Call;-0.00640;0.00001;-2447;-48.94643;0.00000;-21629.18323;1.00000;EUR;0;0;-0.00115;;883.76975;53.93213;-0.39722;0.00000;;;;-2162868.77508;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822f61f4-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;6.39944e-05;34124136-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXDP;EP3 SXDP SEPT20 BDT PUT 100 BOND;2020-09-23;Put;5.10247;740.81000;-2447;0.18204;-0.00922;80.44405;1.00000;EUR;0;0;40.88447;;0.06873;25.14499;-0.39722;-63.65428;;;;-168.20175;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822fb29f-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-0.0517571;34124136-1f2e-11e9-a2d0-b3645e528b7a;0
